MAE1,MAE2,MAE3,MAE4,MAE5,MAE6
17.686047,17.623236,17.608667,17.579035,17.592146,17.635431
17.667177,17.631376,17.629726,17.605555,17.615055,17.66715
17.664549,17.6445,17.64706,17.61913,17.624748,17.678123
17.667795,17.653448,17.653893,17.619833,17.623102,17.673939
17.668032,17.652538,17.648237,17.60871,17.61083,17.657726
17.66035,17.640278,17.631401,17.587868,17.58941,17.631432
17.644392,17.619448,17.607298,17.560614,17.56094,17.597954
17.622847,17.59396,17.579288,17.529638,17.528332,17.561821
17.59836,17.566032,17.548903,17.49693,17.495028,17.526966
17.571917,17.536524,17.517376,17.464443,17.46317,17.494501
17.552261,17.516804,17.49507,17.454857,17.4822,17.547523
17.557121,17.520744,17.503395,17.509441,17.609669,17.735598
17.56036,17.536303,17.555792,17.63627,17.803339,17.94654
17.558529,17.591223,17.677336,17.801876,17.94951,18.050352
17.594025,17.69939,17.826048,17.921455,17.985037,18.036911
17.674372,17.802792,17.907005,17.932667,17.933403,17.957209
17.774754,17.87338,17.921785,17.903517,17.902456,17.925438
17.83557,17.89044,17.898142,17.87441,17.88964,17.904396
17.83971,17.869389,17.865522,17.844355,17.85063,17.841139
17.824856,17.84831,17.841301,17.809093,17.790834,17.770134
17.814447,17.8284,17.809095,17.761768,17.735363,17.72124
17.795551,17.79139,17.758518,17.708384,17.691523,17.68024
17.759438,17.748293,17.716286,17.668674,17.645802,17.616314
17.733139,17.728474,17.693432,17.636023,17.59739,17.579393
17.718018,17.700306,17.651894,17.5963,17.5812,17.592117
17.68653,17.654451,17.60951,17.579548,17.59672,17.60782
17.644627,17.627987,17.607141,17.594242,17.601336,17.595615
17.62895,17.638536,17.631355,17.608635,17.5895,17.586946
17.642872,17.656563,17.64072,17.605963,17.589815,17.604183
17.651396,17.653473,17.62896,17.599817,17.602467,17.617476
17.638607,17.638697,17.619663,17.598776,17.599731,17.599834
17.623056,17.630959,17.618362,17.5918,17.575514,17.567965
17.61832,17.626953,17.609741,17.572374,17.55087,17.547676
17.61352,17.613579,17.588295,17.549278,17.536388,17.535337
17.597664,17.592186,17.56596,17.531559,17.52228,17.515976
17.577707,17.574171,17.551031,17.517056,17.501871,17.492672
17.56378,17.561947,17.538408,17.501432,17.483952,17.479147
17.554256,17.550232,17.524218,17.488167,17.4766,17.476892
17.543278,17.538145,17.513004,17.481892,17.475342,17.476448
17.53286,17.530956,17.509596,17.481882,17.47461,17.475927
17.526915,17.529015,17.510185,17.482521,17.473333,17.476463
17.522913,17.52629,17.50765,17.478878,17.469435,17.472841
17.515017,17.517519,17.498455,17.468185,17.457527,17.457273
17.50112,17.502157,17.482431,17.448946,17.434422,17.428726
17.482862,17.481474,17.459665,17.421446,17.403057,17.393335
17.46125,17.455893,17.430662,17.388487,17.368845,17.356894
17.434683,17.42435,17.395735,17.35159,17.332499,17.318432
17.40213,17.387457,17.357122,17.312548,17.293358,17.275608
17.365929,17.349243,17.318571,17.272867,17.250845,17.229147
