MAE1,MAE2,MAE3,MAE4,MAE5,MAE6
20.354,20.340477,20.331192,20.284595,20.284756,20.338856
20.319475,20.310747,20.302174,20.260601,20.26598,20.327095
20.303413,20.294853,20.2911,20.253923,20.25634,20.314346
20.295677,20.288397,20.288363,20.250292,20.248295,20.299465
20.28741,20.28184,20.281046,20.241096,20.236118,20.283554
20.276274,20.270596,20.266596,20.226906,20.220669,20.267508
20.2628,20.25554,20.24891,20.211472,20.205374,20.25231
20.249128,20.240452,20.233055,20.198355,20.193241,20.239662
20.23629,20.227474,20.2207,20.18858,20.185186,20.23084
20.224361,20.2163,20.210537,20.180847,20.17947,20.224346
20.196304,20.171766,20.188871,20.155338,20.158278,20.555069
20.146534,20.180668,20.186476,20.170282,20.570623,20.760548
20.136896,20.188156,20.163494,20.549997,20.812763,20.93671
20.120499,20.16792,20.526958,20.726564,20.87933,21.039093
20.174768,20.544237,20.817778,20.919725,21.059229,21.237402
20.530252,20.779356,20.935299,21.022211,21.213259,21.260435
20.870985,21.031694,21.16759,21.270054,21.386635,21.339542
21.00783,21.150717,21.279446,21.360296,21.381596,21.395239
21.12692,21.282063,21.371166,21.3839,21.437199,21.436462
21.429647,21.544964,21.57528,21.62351,21.657234,21.639482
21.492641,21.546667,21.559538,21.596737,21.603273,21.60931
21.481087,21.539478,21.56071,21.561647,21.590189,21.602247
21.50798,21.558205,21.56383,21.581415,21.607155,21.59763
21.496843,21.531296,21.540663,21.559303,21.567432,21.570578
21.49577,21.537928,21.555092,21.559006,21.570805,21.59046
21.516872,21.560823,21.571222,21.576206,21.597815,21.610907
21.520782,21.556007,21.565775,21.57684,21.598728,21.606041
21.516619,21.55236,21.568607,21.578646,21.598938,21.60901
21.520363,21.56038,21.577137,21.584806,21.606688,21.617191
21.525034,21.563976,21.577751,21.585442,21.609087,21.61831
21.524431,21.56005,21.573406,21.581272,21.606358,21.616302
21.522615,21.556973,21.571665,21.579807,21.606754,21.61745
21.521059,21.555637,21.571327,21.58054,21.608875,21.619616
21.519873,21.555418,21.57186,21.582191,21.611412,21.622843
21.517738,21.554413,21.571148,21.582119,21.612745,21.625664
21.515493,21.553007,21.569962,21.5817,21.614326,21.628117
21.512613,21.550617,21.568092,21.580881,21.61492,21.629255
21.50965,21.548677,21.567093,21.580536,21.615498,21.630564
21.507256,21.547691,21.566652,21.580484,21.616291,21.631954
21.504986,21.54652,21.565613,21.579782,21.616413,21.632662
21.503628,21.54594,21.56517,21.579752,21.617035,21.633606
21.502272,21.545185,21.564518,21.579344,21.616926,21.634073
21.50105,21.544735,21.564096,21.57888,21.61694,21.634884
21.499868,21.544151,21.563189,21.578072,21.616776,21.635513
21.498528,21.543142,21.561888,21.577005,21.616405,21.63612
21.497223,21.542208,21.560816,21.576223,21.61637,21.637127
21.496944,21.541788,21.56025,21.576845,21.61723,21.634645
21.491905,21.53641,21.554323,21.57144,21.609116,21.625309
21.48256,21.527596,21.544285,21.55955,21.596167,21.613062
21.47439,21.518946,21.532467,21.546854,21.583197,21.602287
21.46737,21.509336,21.520185,21.534185,21.570927,21.59317
21.46034,21.499977,21.509357,21.523115,21.561438,21.586657
21.442963,21.480272,21.48845,21.50241,21.54356,21.56923
21.417416,21.45368,21.461895,21.477104,21.520035,21.546638
21.391338,21.427908,21.436476,21.4529,21.496084,21.524666
21.367458,21.404724,21.413006,21.429653,21.472673,21.503805
21.345112,21.382616,21.390038,21.406229,21.449593,21.482769
21.322079,21.359104,21.36561,21.381697,21.425718,21.460432
21.34514,21.382076,21.470493,21.503258,21.585957,21.725689
21.376205,21.451115,21.533514,21.617245,21.792837,21.925873
21.356445,21.419876,21.576412,21.759787,21.92111,21.931906
21.358883,21.478798,21.732931,21.873451,21.942081,21.934496
21.412964,21.633303,21.790258,21.842342,21.897177,21.914907
21.546618,21.680166,21.747108,21.796177,21.874313,21.88984
22.181818,22.274895,22.242428,22.24636,22.251858,22.213068
22.500046,22.467276,22.413548,22.434526,22.331726,22.24453
22.53968,22.521952,22.437687,22.359905,22.27926,22.193514
22.594872,22.566433,22.398888,22.307442,22.269611,22.189524
22.626907,22.505423,22.35861,22.318836,22.239532,22.157022
22.557291,22.451202,22.359612,22.323263,22.212292,22.137352
22.53116,22.468756,22.402334,22.341522,22.254784,22.19892
22.562746,22.514423,22.44778,22.402267,22.337894,22.303337
22.608282,22.558662,22.511206,22.489223,22.436316,22.406292
22.645597,22.612041,22.592358,22.578423,22.53846,22.519558
22.693993,22.68386,22.6813,22.671034,22.64974,22.649326
22.465393,22.455912,22.460962,22.459217,22.371574,23.402029
22.333092,22.40238,22.37822,22.376804,23.374218,23.54663
22.390882,22.365208,22.260239,23.230505,23.489424,23.515501
22.313435,22.29683,23.310833,23.588505,23.679136,22.884027
22.358425,23.435427,23.65105,23.71101,22.838501,22.412235
23.383108,23.680374,23.748474,22.84408,22.455952,22.326176
23.664165,23.795902,22.8002,22.479572,22.438293,23.242151
23.706089,22.775295,22.399862,22.286184,23.167307,23.38726
22.820507,22.453018,22.321411,23.109676,23.444805,23.4454
22.387733,22.266891,23.168423,23.462633,23.56352,22.873047
22.383495,23.34143,23.519955,23.645931,22.873894,22.42226
23.385128,23.606169,23.680655,22.891762,22.580204,22.406424
23.412521,23.458084,22.712265,22.33694,22.268318,22.14862
23.607553,22.781384,22.45561,22.321629,22.251896,22.235315
22.72517,22.37453,22.283482,22.235046,22.202763,22.133783
22.434582,22.392107,22.41904,22.358772,22.32425,23.28225
22.496185,22.51726,22.39405,22.347904,23.26311,23.408787
22.594791,22.493351,22.379005,23.33442,23.529497,23.550308
22.576801,22.389435,23.35016,23.425205,23.5119,23.502758
22.408497,23.332586,23.34615,23.380766,23.417746,23.655155
23.343746,23.317947,23.269928,23.387627,23.634941,23.559673
23.420914,23.297646,23.326416,23.437479,23.585096,23.374168
23.340345,23.378723,23.526941,23.4803,23.44738,23.354362
23.359306,23.56646,23.472872,23.403484,23.41075,23.31227
23.610613,23.585464,23.457884,23.515192,23.35524,22.781195
23.642466,23.5344,23.447094,23.342192,22.682327,22.33522
23.607454,23.52885,23.439386,22.750635,22.461836,22.273859
23.46137,23.313072,22.61331,22.270704,22.242876,22.163057
23.379545,22.591835,22.344633,22.236954,22.241661,22.217802
22.570576,22.29578,22.20034,22.188435,22.17355,22.079403
22.375172,22.28558,22.273458,22.242039,22.165146,22.128172
22.465925,22.451939,22.437664,22.357569,22.362411,22.35083
22.600878,22.58277,22.539833,22.539305,22.52967,22.51147
22.647076,22.624771,22.607706,22.619576,22.607376,22.575111
22.702574,22.709446,22.707829,22.71424,22.705864,22.68139
22.748737,22.767025,22.768663,22.779772,22.77132,22.757278
22.762161,22.782887,22.787584,22.79313,22.782766,22.793375
22.762602,22.784615,22.793175,22.7948,22.793274,22.817072
22.761688,22.78254,22.792734,22.803026,22.804447,22.821356
22.76284,22.782108,22.797487,22.813354,22.808765,22.809208
22.7619,22.780928,22.79545,22.80208,22.789017,22.79128
22.761976,22.777798,22.784077,22.779964,22.77139,22.775492
22.765806,22.773016,22.770954,22.767525,22.762394,22.764355
22.7555,22.753632,22.747005,22.741669,22.739338,22.755367
22.755209,22.750875,22.748348,22.747808,22.759806,22.772583
22.759995,22.757475,22.759474,22.772251,22.783836,22.790363
22.75967,22.76218,22.773026,22.785116,22.796444,22.7967
22.76181,22.772537,22.782526,22.790024,22.797573,22.801226
22.757895,22.76809,22.771263,22.77295,22.778145,22.7749
22.750845,22.757214,22.749945,22.74507,22.741488,22.76244
22.736156,22.73553,22.727055,22.718761,22.730537,22.745483
22.736498,22.733603,22.728006,22.735115,22.740517,22.736824
22.73137,22.729517,22.732409,22.734852,22.725895,22.712154
22.733885,22.739471,22.739641,22.726665,22.711279,22.69582
22.734592,22.736992,22.719028,22.695227,22.673025,22.655651
22.738207,22.73442,22.732386,22.709787,22.675043,22.57693
22.701296,22.696083,22.687647,22.632864,22.540691,22.453838
22.733795,22.723858,22.67913,22.593164,22.496634,22.395142
22.7333,22.685999,22.615782,22.518904,22.423965,22.324358
22.708004,22.641735,22.56145,22.454628,22.372871,22.305592
22.696596,22.621477,22.537214,22.44395,22.379673,22.338205
21.576975,21.447803,21.34003,21.226908,21.27595,21.079992
21.278116,21.207214,21.160046,21.113903,21.068733,21.059412
21.05402,20.984245,20.936354,20.880291,20.820665,20.860952
20.907303,20.866728,20.828388,20.766027,20.73162,20.780342
20.770916,20.734846,20.683802,20.643387,20.619522,20.6448
20.649988,20.608173,20.574656,20.542253,20.513607,20.546986
20.612019,20.582157,20.562105,20.532442,20.506607,20.550919
20.575693,20.555143,20.53946,20.507881,20.49245,20.539474
20.522337,20.508568,20.500275,20.4618,20.458195,20.517132
20.47597,20.469154,20.460613,20.425568,20.42906,20.49146
20.44823,20.441628,20.437428,20.407993,20.410004,20.46857
20.429308,20.423588,20.42507,20.394516,20.392906,20.444437
20.412453,20.409067,20.411161,20.377794,20.373913,20.421095
20.39336,20.390125,20.389158,20.355423,20.350815,20.397171
20.371851,20.366837,20.363375,20.33131,20.327438,20.374306
20.349693,20.343224,20.33906,20.30965,20.307556,20.354464
20.328533,20.321842,20.31853,20.291964,20.292137,20.338642
20.308607,20.302826,20.300932,20.277199,20.279812,20.325775
20.26903,20.250652,20.265087,20.236406,20.245522,20.642857
20.207754,20.240297,20.240475,20.226658,20.629047,20.802462
20.19523,20.232523,20.199858,20.59249,20.807856,20.918257
20.16478,20.190395,20.556238,20.718775,20.844368,20.977085
20.193937,20.554018,20.789396,20.870821,20.988909,21.136984
20.533276,20.743002,20.869656,20.938763,21.094208,21.13932
20.819233,20.949533,21.056751,21.143005,21.232124,21.200779
20.941092,21.055727,21.159077,21.223265,21.237646,21.249805
21.036037,21.155975,21.22415,21.22219,21.264126,21.271214
21.266533,21.34876,21.366827,21.389036,21.425123,21.427162
21.29979,21.32684,21.32984,21.350805,21.368885,21.377104
21.280888,21.314157,21.331728,21.330456,21.355825,21.371784
21.314968,21.350965,21.356422,21.363577,21.386354,21.389627
21.32463,21.348255,21.349415,21.356869,21.367243,21.37316
21.331156,21.355883,21.36052,21.357246,21.366783,21.383223
21.345917,21.369137,21.367653,21.362577,21.378038,21.38939
21.349566,21.364475,21.360954,21.359823,21.373745,21.380148
21.347124,21.359547,21.360062,21.357834,21.367899,21.37627
21.347225,21.361149,21.361872,21.356218,21.366713,21.375908
21.345081,21.357346,21.354654,21.348785,21.360996,21.36896
21.340267,21.348812,21.345123,21.340853,21.353088,21.361622
21.334911,21.341496,21.339172,21.33539,21.347471,21.356958
21.330935,21.337688,21.336382,21.332575,21.345062,21.355051
21.328098,21.335196,21.333767,21.330412,21.343506,21.353968
21.316364,21.322573,21.320574,21.31702,21.330976,21.34036
21.29598,21.301693,21.299707,21.295391,21.309357,21.319098
21.273512,21.27914,21.276852,21.27165,21.28528,21.296253
21.25074,21.255817,21.252804,21.246737,21.259922,21.272604
21.227673,21.232065,21.228552,21.2215,21.234638,21.249357
21.204313,21.208174,21.204182,21.196411,21.209888,21.226368
21.176966,21.180462,21.17574,21.167017,21.181263,21.201366
21.149633,21.153154,21.147854,21.138659,21.154707,21.177254
21.121502,21.124443,21.118567,21.109919,21.126242,21.149805
21.092602,21.095686,21.090221,21.08096,21.096388,21.12129
21.064293,21.068336,21.06213,21.05141,21.066154,21.092276
21.035465,21.039389,21.031136,21.019138,21.033182,21.060482
21.012913,21.015345,21.006115,20.993773,21.006268,21.034603
20.990602,20.990976,20.981155,20.967402,20.977903,21.008795
20.96816,20.967485,20.957224,20.940472,20.951534,20.986265
20.945913,20.94304,20.93088,20.91319,20.925776,20.963842
20.92261,20.916204,20.904243,20.88699,20.90069,20.942026
20.899366,20.890965,20.880949,20.863853,20.878855,20.923227
20.875647,20.866705,20.8581,20.840971,20.858303,20.906988
20.85453,20.845402,20.837635,20.82134,20.842077,20.89384
20.834616,20.824726,20.81796,20.803913,20.826696,20.879736
20.81481,20.8052,20.801083,20.7882,20.81198,20.86547
20.79634,20.788723,20.786518,20.773754,20.798258,20.851671
20.778954,20.772823,20.771183,20.758432,20.783371,20.836653
20.736902,20.760845,20.80877,20.78711,20.820381,21.571238
20.771147,20.828665,20.845617,20.84405,21.61845,21.937496
20.793692,20.8386,20.876461,21.660307,21.980232,22.055973
20.779222,20.79198,21.677097,21.945553,22.02493,21.987194
20.769852,21.576876,21.907784,21.967445,21.982965,21.98897
21.547794,21.85459,21.91754,21.909475,21.94015,22.041044
22.097898,22.124731,22.048872,22.011013,22.102518,22.097359
22.347618,22.258781,22.203583,22.216112,22.151659,22.154596
