MAE1,MAE2,MAE3,MAE4,MAE5,MAE6
20.314892,20.287382,20.267218,20.248684,20.23041,20.213018
20.287382,20.267218,20.248684,20.23041,20.213018,20.196852
20.267218,20.248684,20.23041,20.213018,20.196852,20.181854
20.248684,20.23041,20.213018,20.196852,20.181854,20.167824
20.23041,20.213018,20.196852,20.181854,20.167824,20.158207
20.213018,20.196852,20.181854,20.167824,20.158207,20.148659
20.196852,20.181854,20.167824,20.158207,20.148659,20.13792
20.181854,20.167824,20.158207,20.148659,20.13792,20.126923
20.167824,20.158207,20.148659,20.13792,20.126923,20.116463
20.158207,20.148659,20.13792,20.126923,20.116463,20.106659
20.148659,20.13792,20.126923,20.116463,20.106659,20.646688
20.13792,20.126923,20.116463,20.106659,20.646688,20.869534
20.126923,20.116463,20.106659,20.646688,20.869534,20.994892
20.116463,20.106659,20.646688,20.869534,20.994892,21.280905
20.106659,20.646688,20.869534,20.994892,21.280905,21.413399
20.646688,20.869534,20.994892,21.280905,21.413399,21.456232
20.869534,20.994892,21.280905,21.413399,21.456232,21.466736
20.994892,21.280905,21.413399,21.456232,21.466736,21.467506
21.280905,21.413399,21.456232,21.466736,21.467506,21.468805
21.413399,21.456232,21.466736,21.467506,21.468805,21.470673
21.456232,21.466736,21.467506,21.468805,21.470673,21.472443
21.466736,21.467506,21.468805,21.470673,21.472443,21.473007
21.467506,21.468805,21.470673,21.472443,21.473007,21.47259
21.468805,21.470673,21.472443,21.473007,21.47259,21.471827
21.470673,21.472443,21.473007,21.47259,21.471827,21.470304
21.472443,21.473007,21.47259,21.471827,21.470304,21.468517
21.473007,21.47259,21.471827,21.470304,21.468517,21.46654
21.47259,21.471827,21.470304,21.468517,21.46654,21.464386
21.471827,21.470304,21.468517,21.46654,21.464386,21.461142
21.470304,21.468517,21.46654,21.464386,21.461142,21.456846
21.468517,21.46654,21.464386,21.461142,21.456846,21.452068
21.46654,21.464386,21.461142,21.456846,21.452068,21.447277
21.464386,21.461142,21.456846,21.452068,21.447277,21.442665
21.461142,21.456846,21.452068,21.447277,21.442665,21.43825
21.456846,21.452068,21.447277,21.442665,21.43825,21.434744
21.452068,21.447277,21.442665,21.43825,21.434744,21.432178
21.447277,21.442665,21.43825,21.434744,21.432178,21.430237
21.442665,21.43825,21.434744,21.432178,21.430237,21.428677
21.43825,21.434744,21.432178,21.430237,21.428677,21.427423
21.434744,21.432178,21.430237,21.428677,21.427423,21.4265
21.432178,21.430237,21.428677,21.427423,21.4265,21.425325
21.430237,21.428677,21.427423,21.4265,21.425325,21.423885
21.428677,21.427423,21.4265,21.425325,21.423885,21.419321
21.427423,21.4265,21.425325,21.423885,21.419321,21.41493
21.4265,21.425325,21.423885,21.419321,21.41493,21.412392
21.425325,21.423885,21.419321,21.41493,21.412392,21.411371
21.423885,21.419321,21.41493,21.412392,21.411371,21.403318
21.419321,21.41493,21.412392,21.411371,21.403318,21.387415
21.41493,21.412392,21.411371,21.403318,21.387415,21.367218
21.412392,21.411371,21.403318,21.387415,21.367218,21.345705
21.411371,21.403318,21.387415,21.367218,21.345705,21.32391
21.403318,21.387415,21.367218,21.345705,21.32391,21.301733
21.387415,21.367218,21.345705,21.32391,21.301733,21.278172
21.367218,21.345705,21.32391,21.301733,21.278172,21.25307
21.345705,21.32391,21.301733,21.278172,21.25307,21.226791
21.32391,21.301733,21.278172,21.25307,21.226791,21.199654
21.301733,21.278172,21.25307,21.226791,21.199654,21.171774
21.278172,21.25307,21.226791,21.199654,21.171774,21.143131
21.25307,21.226791,21.199654,21.171774,21.143131,22.247862
21.226791,21.199654,21.171774,21.143131,22.247862,22.756626
21.199654,21.171774,21.143131,22.247862,22.756626,22.81049
21.171774,21.143131,22.247862,22.756626,22.81049,22.810595
21.143131,22.247862,22.756626,22.81049,22.810595,22.810509
22.247862,22.756626,22.81049,22.810595,22.810509,22.810436
22.756626,22.81049,22.810595,22.810509,22.810436,22.810118
22.81049,22.810595,22.810509,22.810436,22.810118,22.810211
22.810595,22.810509,22.810436,22.810118,22.810211,22.810192
22.810509,22.810436,22.810118,22.810211,22.810192,22.81017
22.810436,22.810118,22.810211,22.810192,22.81017,22.81015
22.810118,22.810211,22.810192,22.81017,22.81015,22.810135
22.810211,22.810192,22.81017,22.81015,22.810135,22.810095
22.810192,22.81017,22.81015,22.810135,22.810095,22.810104
22.81017,22.81015,22.810135,22.810095,22.810104,22.810093
22.81015,22.810135,22.810095,22.810104,22.810093,22.810085
22.810135,22.810095,22.810104,22.810093,22.810085,22.81008
22.810095,22.810104,22.810093,22.810085,22.81008,23.577898
22.810104,22.810093,22.810085,22.81008,23.577898,23.719269
22.810093,22.810085,22.81008,23.577898,23.719269,23.71976
22.810085,22.81008,23.577898,23.719269,23.71976,22.905432
22.81008,23.577898,23.719269,23.71976,22.905432,22.81046
23.577898,23.719269,23.71976,22.905432,22.81046,22.81014
23.719269,23.71976,22.905432,22.81046,22.81014,23.194191
23.71976,22.905432,22.81046,22.81014,23.194191,23.481064
22.905432,22.81046,22.81014,23.194191,23.481064,23.562334
22.81046,22.81014,23.194191,23.481064,23.562334,22.907135
22.81014,23.194191,23.481064,23.562334,22.907135,22.810406
23.194191,23.481064,23.562334,22.907135,22.810406,22.810093
23.481064,23.562334,22.907135,22.810406,22.810093,22.810097
23.562334,22.907135,22.810406,22.810093,22.810097,22.810139
22.907135,22.810406,22.810093,22.810097,22.810139,22.81026
22.810406,22.810093,22.810097,22.810139,22.81026,23.623764
22.810093,22.810097,22.810139,22.81026,23.623764,23.719082
22.810097,22.810139,22.81026,23.623764,23.719082,23.719316
22.810139,22.81026,23.623764,23.719082,23.719316,23.719816
22.81026,23.623764,23.719082,23.719316,23.719816,23.719875
23.623764,23.719082,23.719316,23.719816,23.719875,23.719706
23.719082,23.719316,23.719816,23.719875,23.719706,23.475832
23.719316,23.719816,23.719875,23.719706,23.475832,23.44891
23.719816,23.719875,23.719706,23.475832,23.44891,23.47664
23.719875,23.719706,23.475832,23.44891,23.47664,22.90547
23.719706,23.475832,23.44891,23.47664,22.90547,22.813938
23.475832,23.44891,23.47664,22.90547,22.813938,22.810078
23.44891,23.47664,22.90547,22.813938,22.810078,22.810036
23.47664,22.90547,22.813938,22.810078,22.810036,22.810059
22.90547,22.813938,22.810078,22.810036,22.810059,22.810015
22.813938,22.810078,22.810036,22.810059,22.810015,22.809998
22.810078,22.810036,22.810059,22.810015,22.809998,22.809984
22.810036,22.810059,22.810015,22.809998,22.809984,22.809973
22.810059,22.810015,22.809998,22.809984,22.809973,22.809967
22.810015,22.809998,22.809984,22.809973,22.809967,22.809982
22.809998,22.809984,22.809973,22.809967,22.809982,22.809994
22.809984,22.809973,22.809967,22.809982,22.809994,22.810001
22.809973,22.809967,22.809982,22.809994,22.810001,22.810005
22.809967,22.809982,22.809994,22.810001,22.810005,22.810013
22.809982,22.809994,22.810001,22.810005,22.810013,22.810005
22.809994,22.810001,22.810005,22.810013,22.810005,22.810009
22.810001,22.810005,22.810013,22.810005,22.810009,22.810024
22.810005,22.810013,22.810005,22.810009,22.810024,22.810007
22.810013,22.810005,22.810009,22.810024,22.810007,22.810015
22.810005,22.810009,22.810024,22.810007,22.810015,22.810028
22.810009,22.810024,22.810007,22.810015,22.810028,22.810036
22.810024,22.810007,22.810015,22.810028,22.810036,22.810032
22.810007,22.810015,22.810028,22.810036,22.810032,22.810032
22.810015,22.810028,22.810036,22.810032,22.810032,22.810036
22.810028,22.810036,22.810032,22.810032,22.810036,22.810001
22.810036,22.810032,22.810032,22.810036,22.810001,22.81001
22.810032,22.810032,22.810036,22.810001,22.81001,22.810038
22.810032,22.810036,22.810001,22.81001,22.810038,22.810047
22.810036,22.810001,22.81001,22.810038,22.810047,22.810059
22.810001,22.81001,22.810038,22.810047,22.810059,22.8101
22.81001,22.810038,22.810047,22.810059,22.8101,21.87272
22.810038,22.810047,22.810059,22.8101,21.87272,21.381498
22.810047,22.810059,22.8101,21.87272,21.381498,21.102087
22.810059,22.8101,21.87272,21.381498,21.102087,20.951813
22.8101,21.87272,21.381498,21.102087,20.951813,20.780972
21.87272,21.381498,21.102087,20.951813,20.780972,20.654154
21.381498,21.102087,20.951813,20.780972,20.654154,20.624195
21.102087,20.951813,20.780972,20.654154,20.624195,20.589922
20.951813,20.780972,20.654154,20.624195,20.589922,20.534191
20.780972,20.654154,20.624195,20.589922,20.534191,20.480892
20.654154,20.624195,20.589922,20.534191,20.480892,20.440916
20.624195,20.589922,20.534191,20.480892,20.440916,20.408863
20.589922,20.534191,20.480892,20.440916,20.408863,20.380798
20.534191,20.480892,20.440916,20.408863,20.380798,20.3545
20.480892,20.440916,20.408863,20.380798,20.3545,20.329317
20.440916,20.408863,20.380798,20.3545,20.329317,20.305239
20.408863,20.380798,20.3545,20.329317,20.305239,20.282227
20.380798,20.3545,20.329317,20.305239,20.282227,20.260126
20.3545,20.329317,20.305239,20.282227,20.260126,20.245773
20.329317,20.305239,20.282227,20.260126,20.245773,20.222738
20.305239,20.282227,20.260126,20.245773,20.222738,20.19623
20.282227,20.260126,20.245773,20.222738,20.19623,20.172497
20.260126,20.245773,20.222738,20.19623,20.172497,20.151642
20.245773,20.222738,20.19623,20.172497,20.151642,20.131676
20.222738,20.19623,20.172497,20.151642,20.131676,20.625565
20.19623,20.172497,20.151642,20.131676,20.625565,20.828144
20.172497,20.151642,20.131676,20.625565,20.828144,20.925266
20.151642,20.131676,20.625565,20.828144,20.925266,21.1416
20.131676,20.625565,20.828144,20.925266,21.1416,21.233768
20.625565,20.828144,20.925266,21.1416,21.233768,21.267265
20.828144,20.925266,21.1416,21.233768,21.267265,21.281559
20.925266,21.1416,21.233768,21.267265,21.281559,21.291185
21.1416,21.233768,21.267265,21.281559,21.291185,21.298815
21.233768,21.267265,21.281559,21.291185,21.298815,21.300434
21.267265,21.281559,21.291185,21.298815,21.300434,21.30312
21.281559,21.291185,21.298815,21.300434,21.30312,21.306429
21.291185,21.298815,21.300434,21.30312,21.306429,21.307829
21.298815,21.300434,21.30312,21.306429,21.307829,21.306303
21.300434,21.30312,21.306429,21.307829,21.306303,21.304142
21.30312,21.306429,21.307829,21.306303,21.304142,21.301548
21.306429,21.307829,21.306303,21.304142,21.301548,21.298645
21.307829,21.306303,21.304142,21.301548,21.298645,21.295639
21.306303,21.304142,21.301548,21.298645,21.295639,21.28628
21.304142,21.301548,21.298645,21.295639,21.28628,21.270136
21.301548,21.298645,21.295639,21.28628,21.270136,21.250128
