,train_loss
0,3.2445815805759696e-05
1,3.251285447428624e-05
2,3.179689714064201e-05
3,3.192070250709851e-05
4,3.18443076685071e-05
5,3.194145806547668e-05
6,3.173176871819629e-05
7,3.1326931590835254e-05
8,3.055863496330049e-05
9,3.0429727501339382e-05
10,3.0187605880200863e-05
11,2.9969981147183312e-05
12,2.960102063500219e-05
13,2.9463053991397222e-05
14,2.8477309064732657e-05
15,2.951289682338635e-05
16,2.8441739786002373e-05
17,2.8817494296365315e-05
18,2.8511005867686537e-05
19,2.8330180276599196e-05
20,2.8498941101133824e-05
21,2.729989898701509e-05
22,2.790163012428416e-05
23,2.8049846490224204e-05
24,2.7636261656880378e-05
25,2.7802070706254907e-05
26,2.6573299223350153e-05
27,2.690821782582336e-05
28,2.629185716311137e-05
29,2.6677561302979786e-05
30,2.5017793911198777e-05
31,2.5454572298460538e-05
32,2.5791625699235334e-05
33,2.5094777035216492e-05
34,2.4611261776751943e-05
35,2.4801110848784448e-05
36,2.5319049341811072e-05
37,2.492196909669373e-05
38,2.521071583032608e-05
39,2.461876668449905e-05
40,2.541316207498312e-05
41,2.5194119662046432e-05
42,2.3465546158452827e-05
43,2.426445587641663e-05
44,2.3627116137908565e-05
45,2.41764805590113e-05
46,2.3748234638737307e-05
47,2.3592919007771545e-05
48,2.31478875502944e-05
49,2.3524672206905153e-05
50,2.3333442707856497e-05
51,2.313021260003249e-05
52,2.3044681486984094e-05
53,2.2756315043403044e-05
54,2.2770161223080422e-05
55,2.201424032035801e-05
56,2.3176612642904123e-05
57,2.2716277485920323e-05
58,2.1971601785884962e-05
59,2.2053498153885205e-05
60,2.1741660311818123e-05
61,2.2221744163996642e-05
62,2.181446800629298e-05
63,2.2381901120146117e-05
64,2.1684278940988913e-05
65,2.1215388551354407e-05
66,2.1278273003796736e-05
67,2.0331722270283434e-05
68,2.0806921852959528e-05
69,2.1014981903135777e-05
70,2.02786922454834e-05
71,1.9974613096565008e-05
72,2.0741675462987687e-05
73,2.098009766389926e-05
74,2.1063023660745887e-05
75,2.0669179244173897e-05
76,2.0500543113383982e-05
77,2.093430556770828e-05
78,1.9712201319634913e-05
79,2.0063998591568736e-05
