,train_loss
0,2.1442236611619592e-05
1,2.1102793398313223e-05
2,2.2170005831867456e-05
3,2.1076908451505007e-05
4,2.163544064387679e-05
5,2.1693697199225426e-05
6,2.156673348508775e-05
7,2.076297940220684e-05
8,2.0524157444015147e-05
9,2.0354423322714866e-05
10,2.1205985685810447e-05
11,2.2100225323811172e-05
12,2.090192399919033e-05
13,2.060416154563427e-05
14,2.1656493190675972e-05
15,2.166257007047534e-05
16,1.9523428636603058e-05
17,2.2003959165886045e-05
18,2.1729071158915757e-05
19,1.9866934744641186e-05
20,1.9973826711066066e-05
21,1.9761159783229233e-05
22,2.0785529632121324e-05
23,2.0314267603680493e-05
24,1.985756738577038e-05
25,2.1449557971209286e-05
26,2.115138922818005e-05
27,2.0908241276629268e-05
28,2.158802351914346e-05
29,2.1403233986347914e-05
30,2.040893479716033e-05
31,1.981691224500537e-05
32,2.1439577685669065e-05
33,1.932048937305808e-05
34,2.1726108971051873e-05
35,2.103060542140156e-05
36,2.0762332715094088e-05
37,1.8618052126839758e-05
38,2.0407844567671417e-05
39,2.0172781078144907e-05
40,1.9331047078594565e-05
41,2.0643313182517885e-05
42,2.0061498507857322e-05
43,1.942494825925678e-05
44,1.976572151761502e-05
45,2.136478899046779e-05
46,2.0125285373069347e-05
47,2.0012143068015575e-05
48,2.0837612682953478e-05
49,2.1021745633333923e-05
50,2.0067752338945865e-05
51,2.033871307503432e-05
52,2.045733854174614e-05
53,2.0560910925269127e-05
54,2.052237221505493e-05
55,1.9614468910731376e-05
56,2.0439471118152142e-05
57,2.098466153256595e-05
58,2.1282195230014623e-05
59,2.1747106220573187e-05
60,2.0524244755506517e-05
61,2.0118633983656764e-05
62,2.0821576472371818e-05
63,1.9959445926360785e-05
64,1.9790969090536237e-05
65,1.9610513118095695e-05
66,2.0442364038899542e-05
67,1.973917766008526e-05
68,2.093782415613532e-05
69,1.8312279717065394e-05
70,2.0779684418812395e-05
71,1.8807153101079166e-05
72,1.994528458453715e-05
73,2.0334804430603983e-05
74,2.119935059454292e-05
75,2.1147053921595216e-05
76,2.067733439616859e-05
77,2.0369382691569627e-05
78,1.8896927940659225e-05
79,2.02152511337772e-05
