,train_loss
0,1.9358998397365212e-05
1,1.8886951729655265e-05
2,1.9148757564835252e-05
3,1.8751217285171152e-05
4,1.8403547001071276e-05
5,1.8864276935346424e-05
6,1.892580301500857e-05
7,1.8692200537770986e-05
8,1.7226324416697025e-05
9,1.826452906243503e-05
10,1.83664436917752e-05
11,1.867491810116917e-05
12,1.8863853183574976e-05
13,1.871109358035028e-05
14,1.8902308074757456e-05
15,1.7379611381329597e-05
16,1.791644375771284e-05
17,1.8820189870893957e-05
18,1.8346344586461782e-05
19,1.770796487107873e-05
20,1.80726038524881e-05
21,1.907191995996982e-05
22,1.8030357896350324e-05
23,1.8706670962274073e-05
24,1.7320926417596638e-05
25,1.768936519511044e-05
26,1.7998791299760342e-05
27,1.8567806691862642e-05
28,1.8001479911617935e-05
29,1.7588220071047545e-05
30,1.7900586826726794e-05
31,1.749484450556338e-05
32,1.7928025918081404e-05
33,1.7760512419044973e-05
34,1.7335203010588885e-05
35,1.8072575330734252e-05
36,1.7140375566668807e-05
37,1.775828190147877e-05
38,1.7585657187737523e-05
39,1.7388981650583446e-05
40,1.6868863604031503e-05
41,1.842326601035893e-05
42,1.7732795095071195e-05
43,1.774741103872657e-05
44,1.7433473258279263e-05
45,1.7621323349885644e-05
46,1.7276547732762993e-05
47,1.7397028277628123e-05
48,1.776454737409949e-05
49,1.7397159244865178e-05
50,1.7725462093949318e-05
51,1.7426472622901202e-05
52,1.6851305845193564e-05
53,1.7156497342512012e-05
54,1.7423414974473416e-05
55,1.776575983967632e-05
56,1.6629111487418414e-05
57,1.659147150348872e-05
58,1.698379870504141e-05
59,1.6790375229902566e-05
60,1.6963137313723563e-05
61,1.6811148379929365e-05
62,1.7624732572585343e-05
63,1.7301345942541956e-05
64,1.6881304909475147e-05
65,1.7079897224903108e-05
66,1.7293767305091022e-05
67,1.6954670427367092e-05
68,1.5968996449373664e-05
69,1.6606569988653064e-05
70,1.7320130136795342e-05
71,1.670100085902959e-05
72,1.6922327922657132e-05
73,1.7406392144039272e-05
74,1.6545563703402877e-05
75,1.733106793835759e-05
76,1.6810655943118036e-05
77,1.6808402724564074e-05
78,1.7052572802640496e-05
79,1.647570519708097e-05
