,train_loss
0,1.8734708428382875e-05
1,1.8697496270760893e-05
2,1.8015019013546406e-05
3,1.8317787325941026e-05
4,1.8721981905400754e-05
5,1.760538201779127e-05
6,1.8721683882176877e-05
7,1.8043065210804343e-05
8,1.8873318331316114e-05
9,1.8885465688072146e-05
10,1.7864325782284142e-05
11,1.8164818757213653e-05
12,1.987691328395158e-05
13,1.8392063211649656e-05
14,1.8264807295054197e-05
15,1.7452394240535794e-05
16,1.8691191799007355e-05
17,1.8444568850100042e-05
18,1.833936374168843e-05
19,1.8936103442683818e-05
20,1.752066018525511e-05
21,1.8359219538979232e-05
22,1.8535624258220194e-05
23,1.7474230262450873e-05
24,1.826111983973533e-05
25,1.754527329467237e-05
26,1.8176267622038723e-05
27,1.772291143424809e-05
28,1.8708736752159895e-05
29,1.762128376867622e-05
30,1.801289734430611e-05
31,1.8019323470070958e-05
32,1.8291448359377682e-05
33,1.8102554604411126e-05
34,1.8833825597539543e-05
35,1.7928977031260728e-05
36,1.859209907706827e-05
37,1.794464944396168e-05
38,1.7746752710081638e-05
39,1.8325019045732915e-05
40,1.865228230599314e-05
41,1.7419656505808233e-05
42,1.800075580831617e-05
43,1.837496238294989e-05
44,1.820455421693623e-05
45,1.873080909717828e-05
46,1.7818535561673342e-05
47,1.7635903786867858e-05
48,1.798909856006503e-05
49,1.7803250811994077e-05
50,1.799199264496565e-05
51,1.773791154846549e-05
52,1.8175147706642745e-05
53,1.8368548480793834e-05
54,1.833584741689265e-05
55,1.778886595275253e-05
56,1.7641346203163267e-05
57,1.7427224083803594e-05
58,1.8052965751849116e-05
59,1.8248336273245515e-05
60,1.7981319688260554e-05
61,1.808919187169522e-05
62,1.698222360573709e-05
63,1.7549931071698667e-05
64,1.81439338484779e-05
65,1.8455731915310025e-05
66,1.7861932283267377e-05
67,1.782936626113951e-05
68,1.725367153994739e-05
69,1.7848937422968446e-05
70,1.8333354382775724e-05
71,1.7963951686397196e-05
72,1.686077215708792e-05
73,1.7068699235096575e-05
74,1.7341729253530503e-05
75,1.751868461724371e-05
76,1.8344027339480817e-05
77,1.8128372030332684e-05
78,1.855372975114733e-05
79,1.7517094966024162e-05
