,train_loss
0,1.9185845158062875e-05
1,1.863247307483107e-05
2,1.8644511583261193e-05
3,1.8659530323930083e-05
4,1.86440150719136e-05
5,1.8788892775774e-05
6,1.903671829495579e-05
7,1.8801075057126582e-05
8,1.768553804140538e-05
9,1.9084716332145035e-05
10,1.840202312450856e-05
11,1.850848784670234e-05
12,1.8906467012129724e-05
13,1.8298837821930648e-05
14,1.814684655983001e-05
15,1.8093970138579606e-05
16,1.8181749037466944e-05
17,1.8683025264181196e-05
18,1.9011241383850575e-05
19,1.8553391564637424e-05
20,1.9188086735084653e-05
21,1.8417585524730386e-05
22,1.8052597297355533e-05
23,1.807953987736255e-05
24,1.841577119193971e-05
25,1.8492827075533568e-05
26,1.8528526998125016e-05
27,1.7831214936450124e-05
28,1.768044603522867e-05
29,1.902273332234472e-05
30,1.8135068821720778e-05
31,1.7961594858206807e-05
32,1.8153026467189193e-05
33,1.796455995645374e-05
34,1.788725610822439e-05
35,1.7489545862190425e-05
36,1.8223780207335947e-05
37,1.7463940312154592e-05
38,1.7333682626485826e-05
39,1.8141267937608062e-05
40,1.7699571326375008e-05
41,1.746734546031803e-05
42,1.757472287863493e-05
43,1.8056219560094177e-05
44,1.8961511668749152e-05
45,1.7732750857248904e-05
46,1.8669255659915507e-05
47,1.7927144654095173e-05
48,1.7501898691989482e-05
49,1.7985632293857634e-05
50,1.7304112552665175e-05
51,1.8164420034736394e-05
52,1.7203076276928185e-05
53,1.7589552444405855e-05
54,1.785695319995284e-05
55,1.800605619791895e-05
56,1.8087272183038293e-05
57,1.7791748396120964e-05
58,1.783307932782918e-05
59,1.7648705979809166e-05
60,1.65133603150025e-05
61,1.7186931800097227e-05
62,1.644822536036372e-05
63,1.6669108299538492e-05
64,1.7337381141260266e-05
65,1.6682946588844062e-05
66,1.7391516012139617e-05
67,1.757466874551028e-05
68,1.8052857485599815e-05
69,1.6717694234102964e-05
70,1.8131654360331596e-05
71,1.7751078703440727e-05
72,1.633386476896703e-05
73,1.619931077584624e-05
74,1.7450450104661287e-05
75,1.713042554911226e-05
76,1.7100878758355974e-05
77,1.6461365739814936e-05
78,1.70120905386284e-05
79,1.7532777856104077e-05
