MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE
0.199952666258762,0.252223654063766,0.309274023708962,0.3476714867653442,0.4049024662658401,0.4591497691163396,0.3288623443631688,0.0755020149774492,0.1206216032561889,0.1844056006032016,0.2350728253260133,0.3087591461287695,0.3625817637928656,0.2144904923474146,0.9514795557992172,1.1957673415920649,1.460595480118691,1.636387622162064,1.9057652304887085,2.1769289852492992,1.5544873692350076
0.1821279844828249,0.2377004279145826,0.2937918867763299,0.3320756188536017,0.3832909744620418,0.4366553905477678,0.3109403805061916,0.063354033514975,0.1043137695929336,0.1658431539902932,0.2125076798781762,0.2733030671641092,0.3296770902456283,0.1914997990643526,0.8613448897141209,1.1187352251489977,1.3792206241826892,1.5592311162723909,1.8043616453821367,2.0658861366746413,1.4647966062291629
0.1929967261084413,0.2277970061208078,0.2818670635554219,0.3182112206956912,0.3670694890972386,0.4075198666314703,0.2992435620348451,0.0748016604447341,0.1029358710246403,0.1583258929581476,0.2022475698305646,0.2606562434412657,0.2935524264496946,0.1820866106915079,0.906774897854454,1.0712581429128705,1.322938833904934,1.4920450253477622,1.7241497780340151,1.926391437188164,1.4072596858737
0.1987266940833254,0.2491492014816523,0.3005786239235254,0.339872306108669,0.3916648124003205,0.4388621094781918,0.3198089579126142,0.0773013290519439,0.1231958635148103,0.1789276032965754,0.2238639545738239,0.2760018437579157,0.3255043709545366,0.2007991608582676,0.938716080261194,1.170897152112786,1.4129010354182818,1.595612035562705,1.841417814294548,2.072102372852592,1.505274415083684
0.1870623706519182,0.2305454373987096,0.2846893613592589,0.3267568798151745,0.3703325122699891,0.4214462622204637,0.303472137285919,0.0700380637822491,0.1046190576389552,0.1538477668790881,0.2069591320864209,0.2603597422780924,0.3124911211902134,0.1847191473091698,0.890143375011325,1.0865794394678274,1.336640468580328,1.5277704744162313,1.739230353169803,1.9916632507799847,1.42867122690425
0.1937503580732811,0.2494041165064211,0.3088637187584243,0.3355590923953659,0.3836002649742061,0.4347096335681857,0.3176478640459808,0.069084532350132,0.1185185010836861,0.1800735423276975,0.2197445058322324,0.2716522536827151,0.3218327086968942,0.1968176739955596,0.9185692906225488,1.1776892409123754,1.4556869188923094,1.579808881513887,1.8082644078378989,2.060597830919207,1.5001027617830376
0.1994234209924612,0.246808261764648,0.295917228408585,0.328800043725836,0.365592095077676,0.4258977135531664,0.3104064605870621,0.0771967534384101,0.1211210699156165,0.1753325024263836,0.2189093101848473,0.2643515060365834,0.328007035186874,0.1974863628647858,0.936263271630556,1.1527196955248316,1.3826968033176383,1.538254531782704,1.7181976692025986,2.005836652112958,1.455661437261881
0.2021072301993598,0.2488597337830594,0.3041996367960277,0.3314549536864507,0.3805066772505517,0.4203708263771555,0.3145831763487673,0.0793706177102822,0.1221776874073657,0.1827157377313074,0.2122310506845861,0.2733702552866903,0.3150091184437461,0.1974790778773297,0.9471485872971032,1.160201027247892,1.4169480844927462,1.546277727824234,1.7817464424297058,1.9809928260409848,1.472219115888778
0.1957624734845977,0.2443581148493344,0.2938377882487122,0.3206063123346978,0.3649350209065345,0.403283655877755,0.3037972276169385,0.0740306263561071,0.1151696096168101,0.1656080368971269,0.2052945996020015,0.2518309270623428,0.2860877614691344,0.1830035935005871,0.9208828558891023,1.1453748696901913,1.380130743380069,1.5055101913740296,1.7136086839594662,1.9062852845676,1.4286321048100763
0.2033543335603413,0.2425260356426692,0.2929317488034996,0.3262699444203046,0.3740225792090391,0.4258133936018998,0.3108196725396256,0.0835039793612088,0.1183252174964279,0.1718332005189727,0.2160445928857232,0.2686309324069559,0.3214608781668115,0.1966331334726833,0.9593362938352308,1.1402883585689614,1.3732277668034194,1.526769182939706,1.754104495445364,2.0056578429567464,1.459897323424905
0.20491627578125,0.2554646204682463,0.3016742687709049,0.3330056975832864,0.3901837835932625,0.4354897145543201,0.320122393458545,0.0825965579716917,0.1287075628667837,0.178866664277879,0.2140037995891081,0.2854828896030609,0.3280211346588695,0.2029464348278988,0.9644839097930072,1.1973879792866655,1.417259737834085,1.5661678942624109,1.8373953687908973,2.061197424801561,1.5073153857947712
0.1924057310191325,0.2339179240245498,0.2874252536035696,0.3150909572563771,0.3648197054110025,0.4134564657318276,0.3011860061744099,0.0765922683134483,0.1135747077856897,0.1678679808615975,0.1961142012962479,0.2537452630568256,0.3043590320380639,0.1853755755586454,0.9107573413971972,1.101249169591628,1.3481266200675934,1.478522614742254,1.7179521729011444,1.95338681257194,1.4183324552119596
0.1987568782664259,0.2422911309107285,0.2957683982246532,0.3295272513292442,0.382471363230872,0.4357888559366241,0.3141006463164246,0.0759008876121263,0.1108819058116488,0.1737469544532671,0.2196735129883531,0.2856370975465049,0.3507544579689995,0.2027658027301499,0.9444084707323764,1.1477192313668048,1.4004248225861995,1.559422610445003,1.8120026769710005,2.068145279506055,1.488687181934573
0.1949547078740364,0.2389799182361049,0.2902761084451496,0.320014425812372,0.3674677826238697,0.4213539368923515,0.3055078133139806,0.0770377989724913,0.1104977618876308,0.1645808557374062,0.2004693010456926,0.2531068128733761,0.3108054772791231,0.1860830012992868,0.9117086833625092,1.115625917239933,1.3564596483385598,1.4981705141994848,1.721872626493615,1.987064918717747,1.4318170513919746
0.2020544159196297,0.2560456907157346,0.3165342549256441,0.3515245675110466,0.3952196675710942,0.4411924847545739,0.3270951802329537,0.0805348575285044,0.1298200490393225,0.193878815848571,0.2377890722813735,0.2911006314188764,0.3414679833410098,0.2124319015762763,0.9549939435761656,1.2016048204204153,1.4802899625450407,1.6451522358658397,1.85633465352848,2.0843751770798025,1.5371251321692905
0.1935426066431032,0.2435536510338306,0.2912832309692758,0.3231091099588783,0.368790005155884,0.4151172488442301,0.3058993087675336,0.0753643413775422,0.1193587452159987,0.1746701354012148,0.214043106478027,0.265876448764298,0.3075691579965684,0.1928136558722748,0.9123475047902306,1.1401345525546152,1.3615584817747766,1.5107082881455145,1.7322841670420597,1.9604454844849848,1.4362464131320305
0.1828852725227132,0.2318438753146717,0.2779227629186945,0.3088185046865516,0.3510286892155829,0.3901180375446658,0.2904361903671466,0.0712002563130471,0.1115054353841358,0.1642402942492575,0.2013865343666558,0.2556316078759676,0.2901404660992578,0.1823507657147203,0.8559849895045445,1.0784774882894974,1.292685065589036,1.4388737127561124,1.6426769613542267,1.8379337931792343,1.357772001778775
0.1994310863789066,0.2485448176302699,0.2985054340914221,0.3314607671865658,0.3785597677059189,0.4255054911111916,0.313667894017379,0.0798224068015842,0.1189723435936553,0.1732664589394017,0.2202424069221717,0.2816115054969509,0.3372007760631459,0.2018526496361517,0.93635380932927,1.1603970966921835,1.3945736884390685,1.5477123119342608,1.7738284107754048,2.006121770484786,1.4698311812758291
0.2010003229895283,0.244965313411905,0.2958654123895963,0.3274369456151136,0.3812339395037557,0.4286796936323807,0.3131969379237131,0.0770368389695961,0.1147381648447339,0.171502712531337,0.2092755328447546,0.2758365136330151,0.321585900026987,0.1949959438084039,0.9511294990596444,1.1590507749448389,1.4006974397946714,1.5488971092466055,1.7977002450408035,2.029770161132382,1.4812075382031578
0.1798736568426648,0.2281918763752511,0.283174030582668,0.3062083853283587,0.3583648387265745,0.4105534222049942,0.2943943683434186,0.0679750835513292,0.1076559872922812,0.1643899911387045,0.1897510445167673,0.2490123818791985,0.2993597309289724,0.1796907032178755,0.8485111325016435,1.0713631695835817,1.3289041940734887,1.4401388497403445,1.688215784299044,1.938993274804432,1.3860210675004223
