,train_loss
0,1.581465049336354e-05
1,1.562758995633986e-05
2,1.578183818815483e-05
3,1.5748811420053245e-05
4,1.5553060608605545e-05
5,1.5769935368249815e-05
6,1.5577283532669148e-05
7,1.563927805465129e-05
8,1.584354011962811e-05
9,1.5919995235486164e-05
10,1.5613856052772866e-05
11,1.5700815711170436e-05
12,1.5944080789470012e-05
13,1.552370609715581e-05
14,1.5547097039719422e-05
15,1.582197327580717e-05
16,1.6004919695357483e-05
17,1.5748401120718982e-05
18,1.572553896241718e-05
19,1.5772012734992637e-05
20,1.59910189298292e-05
21,1.5743310666746565e-05
22,1.583812033964528e-05
23,1.601718392016159e-05
24,1.5514659591846996e-05
25,1.537814943326844e-05
26,1.5160731919523743e-05
27,1.5599747809271017e-05
28,1.5821915068146256e-05
29,1.554863035885824e-05
30,1.555908341995544e-05
31,1.5562370471242403e-05
32,1.567421325792869e-05
33,1.547078653756115e-05
34,1.550058704904384e-05
35,1.5401260720358955e-05
36,1.5850840653810238e-05
37,1.5373756436424122e-05
38,1.5115592007835707e-05
39,1.5519786005218822e-05
40,1.5170286771737867e-05
41,1.535409311246541e-05
42,1.5497537485013407e-05
43,1.5467489138245583e-05
44,1.5304871162192688e-05
45,1.5225493763056066e-05
46,1.5313231334504155e-05
47,1.5783382890125114e-05
48,1.4947895736744007e-05
49,1.53721377460493e-05
50,1.5653698291215633e-05
51,1.5403580748372608e-05
52,1.53243621914751e-05
53,1.5375537073446644e-05
54,1.5514914153350725e-05
55,1.5544066360841195e-05
56,1.5682503322346343e-05
57,1.5249527318196164e-05
58,1.5373208767010105e-05
59,1.5046412073489693e-05
60,1.5164968661136097e-05
61,1.508692382938332e-05
62,1.5467869428296884e-05
63,1.5175404130584664e-05
64,1.563059812825587e-05
65,1.5571701547337903e-05
66,1.4944196575217776e-05
67,1.477510357896487e-05
68,1.54056081858774e-05
69,1.5361924759215778e-05
70,1.527520776208904e-05
71,1.5430572028789255e-05
72,1.5267083524829812e-05
73,1.5655442451437313e-05
74,1.550081729268034e-05
75,1.5445321591364014e-05
76,1.5089102348105775e-05
77,1.5367761823452182e-05
78,1.4939691819664505e-05
79,1.5544737947897778e-05
