,train_loss
0,1.7109811823401186e-05
1,1.6974562572108375e-05
2,1.6730765346437692e-05
3,1.6417295620259312e-05
4,1.6611897283130223e-05
5,1.644530462928944e-05
6,1.6319321261511907e-05
7,1.6326732519600125e-05
8,1.6362594388839272e-05
9,1.6504145848254362e-05
10,1.6191140748560428e-05
11,1.617995763404502e-05
12,1.634603754306833e-05
13,1.6261213717775213e-05
14,1.616999739781022e-05
15,1.603673496800992e-05
16,1.608722118867768e-05
17,1.5640170313417912e-05
18,1.6054508483244313e-05
19,1.587653144573172e-05
20,1.5612300485372545e-05
21,1.5587816532287333e-05
22,1.52785698365834e-05
23,1.532337473084529e-05
24,1.5504020783636306e-05
25,1.535683068343335e-05
26,1.510354017631875e-05
27,1.5054521823508873e-05
28,1.4956281261725558e-05
29,1.5153513393468328e-05
30,1.5208388730469678e-05
31,1.4939170537723436e-05
32,1.4813114475044939e-05
33,1.4582223310652707e-05
34,1.5220374075902832e-05
35,1.5001668491297298e-05
36,1.4819566729582019e-05
37,1.4828966102666324e-05
38,1.4871977942271365e-05
39,1.4620641919059886e-05
40,1.4645817896558179e-05
41,1.4508811032606495e-05
42,1.4484945632931259e-05
43,1.4526252117421893e-05
44,1.4434870487699907e-05
45,1.4522588656594356e-05
46,1.4639234998159939e-05
47,1.4728654124256638e-05
48,1.4438100883530247e-05
49,1.476358234261473e-05
50,1.41788633643753e-05
51,1.4548045065667895e-05
52,1.419088492790858e-05
53,1.3891586309505833e-05
54,1.4261652767244312e-05
55,1.377174604891075e-05
56,1.397252936537067e-05
57,1.4166041122128566e-05
58,1.3628637987292475e-05
59,1.3968125503096316e-05
60,1.3668037330110867e-05
61,1.382829285123282e-05
62,1.3869206110636393e-05
63,1.3971718856030041e-05
64,1.3572544946024815e-05
65,1.3775175644291772e-05
66,1.3442787910915083e-05
67,1.3724420116179518e-05
68,1.3690203324788146e-05
69,1.3919264181620544e-05
70,1.3722555401424567e-05
71,1.3867410727673107e-05
72,1.3703924810720814e-05
73,1.3541128331174453e-05
74,1.3716063565678067e-05
75,1.3252527763446172e-05
76,1.3373642125063473e-05
77,1.3575448602851894e-05
78,1.3505138146380583e-05
79,1.3598277906162871e-05
