MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE
1.5457247,1.728706,1.9489757,1.7348615,1.3980107,1.8986951,1.7091624,4.0235558,4.799441,5.6962767,4.8454437,3.0973296,5.4946384,4.6594467,6.588064879179001,7.388611137866974,8.368957787752151,7.413871586322784,5.993663892149925,8.144120126962662,7.316214591264725
8.939828872680664,5.900894641876221,6.30252742767334,7.501849174499512,7.947961807250977,5.177780628204346,6.9618072509765625,81.81761932373047,36.74269485473633,41.65404891967773,58.19956588745117,65.09347534179688,28.75244140625,52.04330825805664,40.555205941200256,26.906374096870422,28.7148118019104,34.106263518333435,36.1144483089447,23.66631329059601,31.677237153053284
1.7688125371932983,1.6298532485961914,1.5998320579528809,1.7314846515655518,2.5155739784240723,1.956512451171875,1.867011904716492,5.104478359222412,4.473978996276856,4.329301834106445,4.957261562347412,8.411552429199219,5.835360050201416,5.518655300140381,7.552157342433929,6.946264207363129,6.817607581615448,7.386844605207443,10.897009074687958,8.391980826854706,7.998644560575485
3.2368640899658203,2.994683027267456,3.178778171539306,2.8835315704345703,3.169816017150879,2.911973237991333,3.062608480453491,12.4104642868042,10.91635036468506,12.074934005737305,10.284875869750977,12.008480072021484,10.44228744506836,11.35623264312744,14.151602983474731,13.062383234500883,13.887923955917358,12.561844289302826,13.849955797195436,12.690697610378264,13.36740255355835
4.301033973693848,1.5957064628601074,2.101368904113769,1.3578050136566162,3.60091519355774,2.2674193382263184,2.5373752117156982,20.458555221557617,4.29608154296875,6.384341239929199,2.6955912113189697,14.937126159667969,7.125390529632568,9.316180229187012,18.93019825220108,6.800422817468643,9.046513587236404,6.341081857681274,15.786224603652954,9.791602194309236,11.116007715463638
3.2697815895080566,1.3544996976852417,1.778651475906372,1.3652904033660889,2.343067407608032,1.6948612928390503,1.967691898345948,12.650989532470703,2.834226608276367,4.962387561798096,2.132183313369751,7.4648284912109375,4.6284918785095215,5.7788519859313965,15.085791051387789,6.347706168889999,8.369281888008118,6.037045642733574,10.928941518068314,7.988819479942322,9.126263856887816
1.4270367622375488,1.3878170251846311,1.4418731927871704,1.3716720342636108,1.3656973838806152,1.6550095081329346,1.4415174722671509,3.1811225414276123,2.586094617843628,3.3110101222991943,2.2744457721710205,2.1434099674224854,4.568347930908203,3.0107383728027344,6.124889478087425,6.031077355146408,6.179077178239822,6.023616343736649,6.035437434911728,7.057294994592667,6.241898983716965
1.9850168228149407,1.3698434829711914,1.3993802070617676,1.3518844842910769,1.5975875854492188,1.3751254081726074,1.5131398439407349,5.894608020782471,2.29249119758606,2.754279136657715,1.9798834323883057,4.302868843078613,2.3134753704071045,3.256267547607422,8.52479338645935,6.007771193981171,6.057444214820862,6.110236048698425,6.809048354625702,6.031136587262154,6.590072065591812
1.39092218875885,1.3481392860412598,1.350575566291809,1.3525646924972534,1.393009901046753,1.352663278579712,1.3646456003189087,2.6631150245666504,1.986978769302368,1.9711401462554927,2.4411208629608154,2.61100697517395,2.118499517440796,2.2986433506011963,6.031303480267525,6.10971637070179,6.097613647580147,6.274235248565674,6.053339317440987,6.191714107990265,6.1263203620910645
1.3465826511383057,1.3490911722183228,1.350022315979004,1.3588027954101562,1.3527326583862305,1.3549822568893433,1.352035641670227,2.0346078872680664,1.9664373397827148,1.976093888282776,2.0255727767944336,1.988749504089356,1.9757819175720213,1.9945406913757324,6.134504452347755,6.090040132403374,6.103334575891495,6.051177531480789,6.121199578046799,6.101730465888977,6.100330874323845
1.3474583625793457,1.3611345291137695,1.3576714992523191,1.4249972105026243,1.3522615432739258,1.3752981424331665,1.3698034286499023,2.349792242050171,2.138089656829834,2.0268869400024414,3.1106395721435547,2.1540114879608154,2.3183205127716064,2.349623441696167,6.232752650976181,6.010347232222557,6.042390316724777,6.125988811254501,6.20231069624424,6.030694022774696,6.10741414129734
1.346576690673828,1.3700250387191772,1.3603041172027588,1.4150266647338867,1.352256178855896,1.3762176036834717,1.3700677156448364,2.07767391204834,2.300025224685669,2.0908021926879883,2.973294734954834,2.033003807067871,2.334017753601074,2.3014698028564453,6.15314207971096,6.006613746285439,6.025190278887749,6.098227947950363,6.152720749378204,6.031237915158272,6.0778554528951645
